,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_location,company_size,currency_in_myr
63,2023,EN,FT,Data Engineer,125000,USD,125000,US,M,588750
64,2023,EN,FT,Data Engineer,90000,USD,90000,US,M,423900
65,2023,EN,FT,AI Developer,200000,EUR,214618,DE,L,1010850
66,2023,EN,FT,Data Analyst,100000,USD,100000,US,L,471000
67,2023,EN,FT,Data Analyst,150000,USD,150000,US,M,706500
68,2023,EN,FT,Data Analyst,100000,USD,100000,US,M,471000
69,2023,EN,FT,Research Scientist,150000,USD,150000,US,M,706500
70,2023,EN,FT,Research Scientist,100000,USD,100000,US,M,471000
71,2023,EN,FT,Data Analyst,85000,USD,85000,US,M,400350
72,2023,EN,FT,Data Analyst,75000,USD,75000,US,M,353250
73,2023,EN,FT,Data Analyst,30000,USD,30000,IN,M,141300
74,2023,EN,FT,Computer Vision Engineer,220000,USD,220000,US,M,1036200
75,2023,EN,FT,AI Developer,60000,EUR,64385,DE,M,303253
76,2023,EN,FT,Data Analyst,55000,USD,55000,US,M,259050
77,2023,EN,FT,Data Analyst,48000,USD,48000,US,M,226080
78,2023,EN,PT,Data Analyst,78000,PLN,17779,IN,L,83739
79,2023,EN,FT,Data Scientist,101400,BRL,19522,BR,L,91948
80,2023,EN,FT,Data Analyst,75000,USD,75000,US,M,353250
81,2023,EN,FT,Data Analyst,60000,USD,60000,US,M,282600
82,2023,EN,FT,Research Engineer,120000,USD,120000,GB,M,565200
83,2023,EN,FT,Research Engineer,60000,USD,60000,GB,M,282600
84,2023,EN,FT,Data Analyst,60000,USD,60000,US,L,282600
85,2023,EN,FT,Data Analyst,50000,USD,50000,US,L,235500
86,2023,EN,FT,Data Scientist,800000,INR,9727,IN,L,45814
87,2023,EN,FT,Data Analyst,85000,USD,85000,US,M,400350
88,2023,EN,FT,Data Analyst,75000,USD,75000,US,M,353250
89,2023,EN,FT,Data Engineer,12000,USD,12000,VN,L,56520
90,2023,EN,FT,Data Analyst,55000,USD,55000,US,M,259050
91,2023,EN,FT,Data Analyst,48000,USD,48000,US,M,226080
92,2023,EN,FT,Data Analyst,100000,USD,100000,US,M,471000
93,2023,EN,FT,Data Scientist,110000,USD,110000,US,S,518100
94,2023,EN,FT,Data Scientist,1050000,INR,12767,IN,L,60132
95,2023,EN,FT,Data Engineer,25000,EUR,26827,DE,L,126355
96,2023,EN,FT,BI Developer,160000,USD,160000,US,M,753600
97,2023,EN,FT,BI Developer,100000,USD,100000,US,M,471000
98,2023,EN,FT,Big Data Engineer,130000,USD,130000,SE,S,612300
99,2023,EN,FT,Data Engineer,160000,USD,160000,US,M,753600
100,2023,EN,FT,Data Engineer,135000,USD,135000,US,M,635850
101,2023,EN,FT,Data Analyst,30000,USD,30000,US,S,141300
102,2023,EN,FT,Data Scientist,124234,USD,124234,US,M,585142
103,2023,EN,FT,Data Scientist,74540,USD,74540,US,M,351083
104,2023,EN,FT,Data Scientist,1060000,INR,12888,IN,S,60702
105,2023,EN,FT,AI Developer,120000,USD,120000,BA,S,565200
106,2023,EN,FT,Business Data Analyst,12000,EUR,12877,GR,L,60650
107,2023,EN,FT,Data Engineer,160000,USD,160000,US,M,753600
108,2023,EN,FT,Data Engineer,135000,USD,135000,US,M,635850
109,2023,EN,FT,Data Scientist,50000,USD,50000,US,M,235500
110,2023,EN,FT,Data Engineer,160000,USD,160000,US,M,753600
111,2023,EN,FT,Data Engineer,135000,USD,135000,US,M,635850
112,2023,EN,FT,Research Engineer,160000,USD,160000,US,M,753600
113,2023,EN,FT,Research Engineer,120000,USD,120000,US,M,565200
114,2023,EN,FT,Deep Learning Engineer,150000,USD,150000,US,M,706500
115,2023,EN,FT,Deep Learning Engineer,120000,USD,120000,US,M,565200
116,2023,EN,FT,Data Engineer,160000,USD,160000,US,M,753600
117,2023,EN,FT,Data Engineer,135000,USD,135000,US,M,635850
118,2023,EX,FT,Data Scientist,258750,USD,258750,US,M,1218712
119,2023,EX,FT,Data Scientist,185000,USD,185000,US,M,871350
120,2023,EX,FT,Data Engineer,220000,USD,220000,US,M,1036200
121,2023,EX,FT,Data Engineer,205000,USD,205000,US,M,965550
122,2023,EX,FT,Head of Data,329500,USD,329500,US,M,1551945
123,2023,EX,FT,Head of Data,269600,USD,269600,US,M,1269816
124,2023,EX,FT,Data Engineer,145000,USD,145000,US,M,682950
125,2023,EX,FT,Data Engineer,115000,USD,115000,US,M,541650
126,2023,EX,FT,Data Engineer,175000,USD,175000,US,M,824250
127,2023,EX,FT,Data Engineer,110000,USD,110000,US,M,518100
128,2023,EX,FT,Analytics Engineer,221000,USD,221000,US,M,1040910
129,2023,EX,FT,Analytics Engineer,153000,USD,153000,US,M,720630
130,2023,EX,FT,Data Scientist,200000,USD,200000,US,M,942000
131,2023,EX,FT,Data Scientist,145000,USD,145000,US,M,682950
132,2023,EX,FT,Data Architect,180000,USD,180000,US,M,847800
133,2023,EX,FT,Data Architect,155000,USD,155000,US,M,730050
134,2023,EX,FT,Data Engineer,286000,USD,286000,US,M,1347060
135,2023,EX,FT,Data Engineer,207000,USD,207000,US,M,974970
136,2023,EX,FT,Director of Data Science,353200,USD,353200,US,M,1663572
137,2023,EX,FT,Director of Data Science,249300,USD,249300,US,M,1174203
138,2023,EX,FT,Data Scientist,145000,USD,145000,US,M,682950
139,2023,EX,FT,Data Scientist,100000,USD,100000,US,M,471000
140,2023,EX,FT,Data Engineer,265000,USD,265000,US,M,1248150
141,2023,EX,FT,Data Engineer,235000,USD,235000,US,M,1106850
142,2023,EX,FT,Data Engineer,194500,USD,194500,US,M,916095
143,2023,EX,FT,Data Engineer,115500,USD,115500,US,M,544005
144,2023,EX,FT,Data Scientist,200000,USD,200000,US,M,942000
145,2023,EX,FT,Data Scientist,145000,USD,145000,US,M,682950
146,2023,EX,FT,Data Engineer,210914,USD,210914,US,M,993404
147,2023,EX,FT,Data Engineer,116704,USD,116704,US,M,549675
148,2023,EX,FT,Data Engineer,167500,USD,167500,US,M,788925
149,2023,EX,FT,Data Engineer,106500,USD,106500,US,M,501615
150,2023,EX,FT,Data Engineer,310000,USD,310000,US,M,1460100
151,2023,EX,FT,Data Engineer,239000,USD,239000,US,M,1125690
152,2023,EX,FT,Data Engineer,310000,USD,310000,US,M,1460100
153,2023,EX,FT,Data Engineer,239000,USD,239000,US,M,1125690
154,2023,EX,FT,Head of Data Science,131899,GBP,160288,GB,M,754956
155,2023,EX,FT,Head of Data Science,104891,GBP,127467,GB,M,600369
156,2023,EX,FT,Data Engineer,310000,USD,310000,US,M,1460100
157,2023,EX,FT,Data Engineer,239000,USD,239000,US,M,1125690
158,2023,EX,FT,Data Engineer,235000,USD,235000,US,M,1106850
159,2023,EX,FT,Data Engineer,210000,USD,210000,US,M,989100
160,2023,EX,FT,Data Engineer,210914,USD,210914,US,M,993404
161,2023,EX,FT,Data Engineer,116704,USD,116704,US,M,549675
162,2023,EX,FT,Data Engineer,284000,USD,284000,US,M,1337640
163,2023,EX,FT,Data Engineer,236000,USD,236000,US,M,1111560
164,2023,EX,FT,Data Analytics Manager,155000,USD,155000,US,M,730050
165,2023,EX,FT,Data Analytics Manager,140000,USD,140000,US,M,659400
166,2023,EX,FT,Data Engineer,175000,USD,175000,US,M,824250
167,2023,EX,FT,Data Engineer,110000,USD,110000,US,M,518100
168,2023,EX,FT,Head of Data Science,314100,USD,314100,US,M,1479411
169,2023,EX,FT,Head of Data Science,195800,USD,195800,US,M,922218
170,2023,EX,FT,Data Engineer,200000,USD,200000,US,M,942000
171,2023,EX,FT,Data Engineer,145000,USD,145000,US,M,682950
172,2023,EX,FT,Data Engineer,310000,USD,310000,US,M,1460100
173,2023,EX,FT,Data Engineer,239000,USD,239000,US,M,1125690
174,2023,EX,FT,Data Scientist,300000,USD,300000,US,M,1413000
175,2023,EX,FT,Data Scientist,200000,USD,200000,US,M,942000
176,2023,EX,FT,Data Engineer,196200,USD,196200,US,M,924102
177,2023,EX,FT,Data Engineer,150900,USD,150900,US,M,710739
178,2023,MI,CT,ML Engineer,30000,USD,30000,US,S,141300
179,2023,MI,CT,ML Engineer,25500,USD,25500,US,S,120105
180,2023,MI,FT,Data Analyst,150000,USD,150000,US,M,706500
181,2023,MI,FT,Data Analyst,110000,USD,110000,US,M,518100
182,2023,MI,FT,Data Engineer,162500,USD,162500,US,M,765375
183,2023,MI,FT,Data Engineer,130000,USD,130000,US,M,612300
184,2023,MI,FT,Data Analyst,105380,USD,105380,US,M,496339
185,2023,MI,FT,Data Analyst,64500,USD,64500,US,M,303795
186,2023,MI,FT,Data Scientist,510000,HKD,65062,HK,L,306442
187,2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,DE,S,328527
188,2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,L,454882
189,2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,M,730050
190,2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,M,659400
191,2023,MI,FT,Data Engineer,100000,USD,100000,US,M,471000
192,2023,MI,FT,Data Engineer,70000,USD,70000,US,M,329700
193,2023,MI,FT,Data Engineer,100000,USD,100000,US,M,471000
194,2023,MI,FT,Data Engineer,70000,USD,70000,US,M,329700
195,2023,MI,FT,Business Data Analyst,105000,USD,105000,US,L,494550
196,2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,L,97355
197,2023,MI,FT,Data Analyst,38000,GBP,46178,GB,M,217498
198,2023,MI,FT,Data Analyst,35000,GBP,42533,GB,M,200330
199,2023,MI,FT,Data Engineer,162500,USD,162500,US,M,765375
200,2023,MI,FT,Data Engineer,130000,USD,130000,US,M,612300
201,2023,MI,FT,Data Scientist,55000,GBP,66837,GB,M,314802
202,2023,MI,FT,Data Scientist,45000,GBP,54685,GB,M,257566
203,2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,M,400660
204,2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,M,271875
205,2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,M,1413000
206,2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,M,1177500
207,2023,MI,FT,Research Engineer,230000,USD,230000,US,M,1083300
208,2023,MI,FT,Research Engineer,200000,USD,200000,US,M,942000
209,2023,MI,FT,Data Engineer,180000,USD,180000,US,M,847800
210,2023,MI,FT,Data Engineer,130000,USD,130000,US,M,612300
211,2023,MI,FT,AI Developer,100000,SGD,75020,FI,M,353344
212,2023,MI,FT,AI Developer,200000,USD,200000,US,M,942000
213,2023,MI,FT,Machine Learning Engineer,280700,USD,280700,US,M,1322097
214,2023,MI,FT,Machine Learning Engineer,150450,USD,150450,US,M,708619
215,2023,MI,FT,Data Scientist,93918,USD,93918,US,M,442353
216,2023,MI,FT,Data Scientist,51962,USD,51962,US,M,244741
217,2023,MI,FT,Big Data Engineer,45000,EUR,48289,ES,M,227441
218,2023,MI,FT,Data Analyst,90000,USD,90000,US,M,423900
219,2023,MI,FT,Data Analyst,75000,USD,75000,US,M,353250
220,2023,MI,FT,Research Scientist,161200,GBP,195895,GB,M,922665
221,2023,MI,FT,Research Scientist,84570,GBP,102772,GB,M,484056
222,2023,MI,FT,Data Specialist,130000,USD,130000,US,M,612300
223,2023,MI,FT,Data Specialist,80000,USD,80000,US,M,376800
224,2023,MI,FT,Data Scientist,180000,USD,180000,US,M,847800
225,2023,MI,FT,Data Scientist,140000,USD,140000,US,M,659400
226,2023,MI,FT,Lead Data Analyst,68000,USD,68000,US,L,320280
227,2023,MI,FT,Data Engineer,125000,USD,125000,US,M,588750
228,2023,MI,FT,Data Engineer,90000,USD,90000,US,M,423900
229,2023,MI,FT,Data Manager,135000,USD,135000,US,M,635850
230,2023,MI,FT,Data Manager,120000,USD,120000,US,M,565200
231,2023,MI,FT,Data Analyst,182500,USD,182500,US,M,859575
232,2023,MI,FT,Data Analyst,101500,USD,121500,US,M,572265
233,2023,MI,FT,Data Analyst,90000,GBP,72914,GB,M,343424
234,2023,MI,FT,Data Analyst,121500,USD,121500,US,M,572265
235,2023,MI,FT,Data Analyst,60000,GBP,72914,GB,M,343424
236,2023,MI,FT,Data Analyst,45000,GBP,54685,GB,M,257566
237,2023,MI,FT,Data Architect,167500,USD,167500,US,M,788925
238,2023,MI,FT,Data Architect,106500,USD,106500,US,M,501615
239,2023,MI,FT,Data Engineer,146000,USD,146000,US,M,687660
240,2023,MI,FT,Data Engineer,75000,USD,75000,US,M,353250
241,2023,MI,FT,Machine Learning Scientist,230000,USD,230000,US,M,1083300
242,2023,MI,FT,Machine Learning Scientist,220000,USD,220000,US,M,1036200
243,2023,MI,FT,Research Scientist,210000,USD,210000,US,M,989100
244,2023,MI,FT,Research Scientist,151800,USD,151800,US,M,714978
245,2023,MI,FT,MLOps Engineer,134000,USD,135000,US,L,635850
246,2023,MI,FT,MLOps Engineer,124000,USD,104000,US,L,489840
247,2023,MI,FT,MLOps Engineer,134000,USD,134000,US,M,631140
248,2023,MI,FT,MLOps Engineer,124000,USD,124000,US,M,584040
249,2023,MI,FT,Data Architect,167500,USD,167500,US,M,788925
250,2023,MI,FT,Data Architect,106500,USD,106500,US,M,501615
251,2023,MI,FT,Machine Learning Engineer,135000,USD,135000,US,L,635850
252,2023,MI,FT,Data Engineer,143865,USD,143865,US,M,677604
253,2023,MI,FT,Data Engineer,115092,USD,115092,US,M,542083
254,2023,MI,FT,Machine Learning Engineer,130000,USD,130000,US,M,612300
255,2023,MI,FT,Machine Learning Engineer,90000,USD,90000,US,M,423900
256,2023,MI,FT,Data Engineer,149600,USD,149600,US,M,704616
257,2023,MI,FT,Data Engineer,102000,USD,102000,US,M,480420
258,2023,MI,FT,Data Scientist,90000,EUR,96578,IE,M,454882
259,2023,MI,FT,Data Scientist,75000,EUR,80481,IE,M,379065
260,2023,MI,FT,Data Analyst,128000,USD,128000,US,M,602880
261,2023,MI,FT,Data Analyst,85000,USD,85000,US,M,400350
262,2023,MI,FT,Data Engineer,151000,USD,151000,US,M,711210
263,2023,MI,FT,Data Engineer,140000,USD,140000,US,M,659400
264,2023,MI,FT,Data Analyst,154000,USD,154000,US,M,725340
265,2023,MI,FT,Data Analyst,143000,USD,143000,US,M,673530
266,2023,MI,FT,Data Scientist,65000,GBP,78990,GB,M,372042
267,2023,MI,FT,Data Scientist,42000,GBP,51039,GB,M,240393
268,2023,MI,FT,Data Scientist,70000,GBP,85066,GB,M,400660
269,2023,MI,FT,Data Scientist,42000,GBP,51039,GB,M,240393
270,2023,MI,FT,Data Scientist,90000,GBP,109371,GB,M,515137
271,2023,MI,FT,Data Scientist,60000,GBP,72914,GB,M,343424
272,2023,MI,FT,Data Engineer,75000,USD,75000,US,M,353250
273,2023,MI,FT,Data Engineer,60400,USD,60400,US,M,284484
274,2023,MI,FT,Data Scientist,56000,EUR,60093,DE,M,283038
275,2023,MI,FT,Data Analyst,83500,USD,83500,US,M,393285
276,2023,MI,FT,Data Analyst,52500,USD,52500,US,M,247275
277,2023,MI,FT,Data Engineer,90000,USD,90000,US,M,423900
278,2023,MI,FT,Data Engineer,90000,USD,90000,US,M,423900
279,2023,MI,FT,Data Engineer,145000,USD,145000,US,M,682950
280,2023,MI,FT,Data Engineer,120000,USD,120000,US,M,565200
281,2023,MI,FT,Data Analyst,206000,USD,206000,US,M,970260
282,2023,MI,FT,Data Analyst,130000,USD,130000,US,M,612300
283,2023,MI,FT,Data Analyst,160000,USD,160000,US,M,753600
284,2023,MI,FT,Data Analyst,112000,USD,112000,US,M,527520
285,2023,MI,FT,Data Engineer,162500,USD,162500,US,M,765375
286,2023,MI,FT,Data Engineer,130000,USD,130000,US,M,612300
287,2023,MI,FT,Data Scientist,145000,USD,145000,US,M,682950
288,2023,MI,FT,Data Scientist,100000,USD,100000,US,M,471000
289,2023,MI,FT,Data Scientist,145000,USD,145000,US,M,682950
290,2023,MI,FT,Data Scientist,100000,USD,100000,US,M,471000
291,2023,MI,FT,Data Analyst,100000,USD,100000,US,M,471000
292,2023,MI,FT,Data Analyst,85000,USD,85000,US,M,400350
293,2023,MI,FT,Data Engineer,70000,GBP,85066,GB,M,400660
294,2023,MI,FT,Data Engineer,47500,GBP,57723,GB,M,271875
295,2023,MI,FT,Data Engineer,140000,USD,140000,US,M,659400
296,2023,MI,FT,Data Engineer,95000,USD,95000,US,M,447450
297,2023,MI,FT,Financial Data Analyst,130000,USD,130000,US,L,612300
298,2023,MI,FT,Data Analyst,75000,USD,75000,US,M,353250
299,2023,MI,FT,Data Analyst,65000,USD,65000,US,M,306150
300,2023,MI,FT,ML Engineer,160000,USD,160000,US,M,753600
301,2023,MI,FT,ML Engineer,147000,USD,147000,US,M,692370
302,2023,MI,FT,Software Data Engineer,100000,SGD,75020,SG,L,353344
303,2023,MI,FT,Data Scientist,1400000,INR,17022,IN,L,80173
304,2023,MI,FT,Lead Data Analyst,1500000,INR,18238,IN,L,85900
305,2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,M,1177500
306,2023,MI,FT,Machine Learning Engineer,150000,USD,150000,US,M,706500
307,2023,MI,FT,Analytics Engineer,185700,USD,185700,US,M,874647
308,2023,MI,FT,Analytics Engineer,165000,USD,165000,US,M,777150
309,2023,MI,FT,Data Scientist,55000,EUR,59020,ES,M,277984
310,2023,MI,FT,Data Scientist,45000,EUR,48289,ES,M,227441
311,2023,MI,FT,Data Engineer,70000,EUR,75116,SI,M,353796
312,2023,MI,FT,Data Engineer,45000,EUR,48289,SI,M,227441
313,2023,MI,FT,Data Scientist,128750,USD,128750,US,M,606412
314,2023,MI,FT,Data Scientist,106250,USD,106250,US,M,500437
315,2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,M,730050
316,2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,M,659400
317,2023,MI,FT,Data Analyst,130000,USD,130000,CA,M,612300
318,2023,MI,FT,Data Analyst,100000,USD,100000,CA,M,471000
319,2023,MI,FT,Data Science Manager,104500,USD,104500,US,M,492195
320,2023,MI,FT,Data Science Manager,70000,USD,70000,US,M,329700
321,2023,MI,FT,Data Science Consultant,90000,USD,90000,US,M,423900
322,2023,MI,FT,Data Science Consultant,70000,USD,70000,US,M,329700
323,2023,MI,FT,Research Scientist,185000,USD,185000,US,M,871350
324,2023,MI,FT,Research Scientist,125000,USD,125000,US,M,588750
325,2023,MI,FT,Data Scientist,200000,USD,200000,US,M,942000
326,2023,MI,FT,Data Scientist,150000,USD,150000,US,M,706500
327,2023,MI,FT,Data Engineer,72000,USD,72000,MX,M,339120
328,2023,MI,FT,Data Engineer,60000,USD,60000,MX,M,282600
329,2023,MI,FT,Data Engineer,260000,USD,260000,US,M,1224600
330,2023,MI,FT,Data Engineer,175000,USD,175000,US,M,824250
331,2023,MI,FT,Research Scientist,340000,USD,340000,US,M,1601400
332,2023,MI,FT,Research Scientist,150000,USD,150000,US,M,706500
333,2023,MI,FT,Data Engineer,250000,USD,250000,US,M,1177500
334,2023,MI,FT,Data Engineer,175000,USD,175000,US,M,824250
335,2023,MI,FT,Data Scientist,60000,EUR,64385,FR,M,303253
336,2023,MI,FT,Data Engineer,146000,USD,146000,US,M,687660
337,2023,MI,FT,Data Engineer,75000,USD,75000,US,M,353250
338,2023,MI,FT,Data Engineer,149600,USD,149600,US,M,704616
339,2023,MI,FT,Data Engineer,102000,USD,102000,US,M,480420
340,2023,MI,FT,Data Analyst,80000,GBP,97218,GB,M,457896
341,2023,MI,FT,Data Analyst,40000,GBP,48609,GB,M,228948
342,2023,MI,FT,Data Engineer,145000,USD,145000,US,M,682950
343,2023,MI,FT,Data Engineer,125000,USD,125000,US,M,588750
344,2023,MI,FT,Data Scientist,150000,USD,150000,US,M,706500
345,2023,MI,FT,Data Scientist,97750,USD,97750,US,M,460402
346,2023,MI,FT,Data Scientist,116990,USD,116990,US,M,551022
347,2023,MI,FT,Data Scientist,82920,USD,82920,US,M,390553
348,2023,MI,FT,Machine Learning Scientist,200000,USD,200000,US,S,942000
349,2023,MI,FT,Machine Learning Scientist,125000,USD,125000,US,S,588750
350,2023,MI,FT,Machine Learning Infrastructure Engineer,205920,USD,205920,US,M,969883
351,2023,MI,FT,Machine Learning Infrastructure Engineer,171600,USD,171600,US,M,808236
352,2023,MI,FT,Data Engineer,154000,USD,154000,US,M,725340
353,2023,MI,FT,Data Engineer,116000,USD,116000,US,M,546360
354,2023,MI,FT,Data Analyst,65000,GBP,78990,GB,M,372042
355,2023,MI,FT,Data Analyst,36050,GBP,43809,GB,M,206340
356,2023,MI,FT,Data Engineer,200000,USD,200000,US,M,942000
357,2023,MI,FT,Data Engineer,120000,USD,120000,US,M,565200
358,2023,MI,FT,Data Engineer,105000,GBP,127599,GB,M,600991
359,2023,MI,FT,Data Engineer,85000,GBP,103294,GB,M,486514
360,2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,M,730050
361,2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,M,659400
362,2023,MI,FT,Research Scientist,185000,USD,185000,US,M,871350
363,2023,MI,FT,Research Scientist,125000,USD,125000,US,M,588750
364,2023,MI,FT,Machine Learning Engineer,200000,USD,200000,US,M,942000
365,2023,MI,FT,Machine Learning Engineer,175000,USD,175000,US,M,824250
366,2023,MI,FT,Data Scientist,40000,USD,40000,FR,L,188400
367,2023,MI,FT,Data Engineer,140000,USD,140000,US,M,659400
368,2023,MI,FT,Data Engineer,100000,USD,100000,US,M,471000
369,2023,MI,FT,Insight Analyst,42000,GBP,51039,GB,M,240393
370,2023,MI,FT,Insight Analyst,35000,GBP,42533,GB,M,200330
371,2023,MI,FT,Applied Machine Learning Engineer,130000,USD,130000,US,M,612300
372,2023,MI,FT,AI Scientist,36000,EUR,38631,ES,L,181952
373,2023,MI,FT,Deep Learning Engineer,150000,USD,150000,US,M,706500
374,2023,MI,FT,Deep Learning Engineer,100000,USD,100000,US,M,471000
375,2023,MI,FT,Data Engineer,95000,GBP,115447,GB,L,543755
376,2023,MI,FT,Data Infrastructure Engineer,190000,USD,190000,US,M,894900
377,2023,MI,FT,Data Infrastructure Engineer,160000,USD,160000,US,M,753600
378,2023,MI,FT,Data Infrastructure Engineer,190000,USD,190000,US,M,894900
379,2023,MI,FT,Data Infrastructure Engineer,183310,USD,183310,US,M,863390
380,2023,MI,FT,Machine Learning Engineer,148500,USD,148500,US,M,699435
381,2023,MI,FT,Machine Learning Engineer,126277,USD,126277,US,M,594764
382,2023,MI,FT,Data Analyst,80000,USD,80000,US,M,376800
383,2023,MI,FT,Data Analyst,60000,USD,60000,US,M,282600
384,2023,MI,FT,Data Engineer,140000,USD,140000,US,M,659400
385,2023,MI,FT,Data Engineer,120000,USD,120000,US,M,565200
386,2023,MI,FT,Data Analyst,90000,GBP,109371,HR,M,515137
387,2023,MI,FT,Data Analyst,60000,GBP,72914,HR,M,343424
388,2023,MI,FT,Data Engineer,125000,USD,125000,US,M,588750
389,2023,MI,FT,Data Engineer,90000,USD,90000,US,M,423900
390,2023,MI,FT,Data Engineer,120000,USD,120000,US,M,565200
391,2023,MI,FT,Data Engineer,90000,USD,90000,US,M,423900
392,2023,MI,FT,Data Science Lead,60000,GBP,72914,GB,M,343424
393,2023,MI,FT,Data Science Lead,50000,GBP,60761,GB,M,286184
394,2023,MI,FT,Machine Learning Engineer,40000,GBP,48609,GB,M,228948
